"Closed Date","Opened Date","Market","Type","Bid/Ask","Units Filled","Units Total","Actual Rate","Cost / Proceeds"
"05/21/2017 01:33:19 PM","05/21/2017 01:33:19 PM","BTC-ETH","Limit Buy","0.06570000","1.68289667","1.68289667","0.06568999","-0.11082585"
"05/21/2017 01:29:29 PM","05/21/2017 01:29:29 PM","BTC-ANT","Limit Sell","0.00068876","58.47339188","58.47339188","0.00068875","0.04017345"
"05/21/2017 01:29:06 PM","05/21/2017 01:29:06 PM","BTC-STRAT","Limit Sell","0.00094694","74.81650602","74.81650602","0.00094694","0.07066966"
"05/18/2017 11:56:07 PM","05/18/2017 11:56:07 PM","BTC-ANT","Limit Buy","0.00081698","58.47339188","58.47339188","0.00081697","-0.04789101"
"05/18/2017 11:55:08 PM","05/18/2017 11:54:46 PM","BTC-SYS","Limit Sell","0.00003901","1073.56086700","1073.56086700","0.00003900","0.04177491"
"05/17/2017 11:43:16 AM","05/17/2017 11:42:15 AM","BTC-BURST","Limit Sell","0.00000371","1652.74070411","1652.74070411","0.00000370","0.00611634"
"05/14/2017 11:30:29 PM","05/14/2017 11:30:22 PM","BTC-BURST","Limit Buy","0.00000632","1652.74070411","1652.74070411","0.00000631","-0.01047143"
"05/14/2017 11:28:35 PM","05/14/2017 11:18:22 PM","BTC-CLAM","Limit Sell","0.00260000","4.03756690","4.03756690","0.00259999","0.01047142"
"05/14/2017 07:19:30 PM","05/14/2017 07:18:27 PM","BTC-CLAM","Limit Buy","0.00279725","4.03756690","4.03756690","0.00279724","-0.01132231"
"05/10/2017 12:07:46 AM","05/10/2017 12:07:46 AM","BTC-XEM","Limit Buy","0.00006895","521.93800508","521.93800508","0.00006894","-0.03607758"
"05/10/2017 12:05:33 AM","05/10/2017 12:05:27 AM","BTC-LTC","Limit Sell","0.01814504","1.99327232","1.99327232","0.01814503","0.03607758"
"05/09/2017 11:44:13 PM","05/09/2017 11:44:10 PM","BTC-LTC","Limit Buy","0.01780587","1.99327232","1.99327232","0.01780586","-0.03558066"
"05/09/2017 11:10:51 PM","05/09/2017 11:10:44 PM","BTC-XEM","Limit Buy","0.00006920","433.04357948","433.04357948","0.00006919","-0.03004152"
"05/09/2017 11:02:49 PM","05/09/2017 11:02:49 PM","BTC-STRAT","Limit Buy","0.00062250","74.81650602","74.81650602","0.00062249","-0.04668970"
"05/09/2017 09:21:06 PM","05/09/2017 09:14:55 PM","BTC-SYS","Limit Buy","0.00003676","1073.56086700","1073.56086745","0.00003675","-0.03956275"
"05/09/2017 09:16:34 PM","05/09/2017 09:15:56 PM","BTC-XRP","Limit Buy","0.00009080","434.62942566","434.62942566","0.00009079","-0.03956300"
